PREÇO|QUARTOS|TAMANHO|CONDOMÍNIO|ESTACIONAMENTO|BAIRRO
R$ 375.000|2 quartos | 97m² | | 2 vagas|Flodoaldo Pontes Pinto
R$ 397.000|3 quartos | 94m² |R$ 0 | 2 vagas|Costa e Silva
R$ 326.800|3 quartos | 75m² | | 2 vagas|Flodoaldo Pontes Pinto
R$ 155.000|2 quartos | 10m² | | 1 vaga|Bairro Novo
R$ 397.000|3 quartos | 152m² | | 2 vagas|Lagoa
R$ 315.000|3 quartos | 85m² |R$ 614 | 1 vaga|Rio Madeira
R$ 40.000|2 quartos | 50m² |R$ 130 | 1 vaga|Jardim Santana
R$ 890.000|3 quartos | 164m² | | 2 vagas|Rio Madeira
R$ 70.000|2 quartos | 300m²| | |Nova Esperança
R$ 850.000|3 quartos | 185m² |R$ 0 | 2 vagas|Rio Madeira
R$ 352.000|2 quartos | 68m² |R$ 0 | 1 vaga|Flodoaldo Pontes Pinto
R$ 1.300.000|4 quartos | 214m² | | 2 vagas|Nova Porto Velho
R$ 235.000|2 quartos | 105m² | | 1 vaga|Igarapé
R$ 170.000|2 quartos | 56m² | | 2 vagas|Triângulo
R$ 250.000|2 quartos | 75m² | | 1 vaga|Liberdade
R$ 90.000|2 quartos | 1m² | | 1 vaga|Maringá
R$ 25.000|1 quarto | |R$ 0 | 4 vagas|Ulisses Guimarães
R$ 90.000|2 quartos | 0m² | | 2 vagas|São Francisco
R$ 190.000|3 quartos | | | 4 vagas|Cidade Nova
R$ 165.000|2 quartos | | | 4 vagas|Embratel
R$ 700.000|4 quartos | 430m² | | 4 vagas|Embratel
R$ 230.000|2 quartos | 60m² |R$ 340 | 1 vaga|Rio Madeira
R$ 30.000|1 quarto| | | |Esperança da Comunidade
R$ 150.000|3 quartos | 60m² | | 2 vagas|São Cristóvão
R$ 70.000|2 quartos| | | |Floresta
R$ 320|4 quartos | 200m² | | 4 vagas|Eletronorte
R$ 520.000|3 quartos | 100m² | | 2 vagas|Industrial
R$ 540.000|3 quartos | | | 2 vagas|Triângulo
R$ 35.000|1 quarto | 4m² | | 1 vaga|Cidade Nova
R$ 150.000|2 quartos| | | |Aponiã
R$ 1.280.000|3 quartos | 222m² |R$ 335 | 4 vagas|Área Rural de Porto Velho
R$ 188.000|3 quartos | 80m² |R$ 600 | 1 vaga|Agenor de Carvalho
R$ 180.000|2 quartos | 600m² | | 5 ou mais vagas|Ronaldo Aragão
R$ 90.000|2 quartos | 300m² | | 2 vagas|Ronaldo Aragão
R$ 50.000|2 quartos | | | 2 vagas|Centro
R$ 100.000|1 quarto | 50m² | | 1 vaga|Flodoaldo Pontes Pinto
R$ 380.000|3 quartos | 84m² |R$ 0 | 2 vagas|Rio Madeira
R$ 310.000|3 quartos | | | 2 vagas|Agenor de Carvalho
R$ 265.000|2 quartos | 51m² | | 1 vaga|Igarapé
R$ 1.300.000|5 ou mais quartos | 400m² |R$ 1.000 | 3 vagas|Panair
R$ 98.000|2 quartos | 150m² | | 2 vagas|Castanheira
R$ 580.000|4 quartos | 116m² |R$ 900 | 2 vagas|Olaria
R$ 140.000|1 quarto | 40m² |R$ 0 | 1 vaga|Tupy
R$ 220.000|2 quartos | 51m² |R$ 350 | 1 vaga|Rio Madeira
R$ 300.000|4 quartos | 250m² | | 3 vagas|Aponiã
R$ 102.000|2 quartos | 10m² |R$ 0| |Nova Porto Velho
R$ 2.500|3 quartos | 120m² | | 4 vagas|Bairro Novo
R$ 250.000|1 quarto | 300m² | | 2 vagas|Aponiã
R$ 580.000|3 quartos | 110m² | | 2 vagas|Olaria
R$ 280.000|2 quartos | 64m² | | 1 vaga|Eldorado
R$ 500.000|3 quartos | | | 3 vagas|Cuniã
R$ 250.000|1 quarto | | | 1 vaga|São Francisco
R$ 950.000|3 quartos | 187m² | | 2 vagas|Rio Madeira
R$ 460.000|2 quartos | 300m² |R$ 0 | 3 vagas|Lagoinha
R$ 550.000|4 quartos | 315m² |R$ 0 | 4 vagas|Olaria
R$ 50.000|2 quartos | 300m² | | 5 ou mais vagas|Três Marias
R$ 350.000|3 quartos | 75m² | | 1 vaga|Rio Madeira
R$ 400.000|2 quartos | | | 5 ou mais vagas|Liberdade
R$ 650.000|3 quartos | 110m² | | 2 vagas|Olaria
R$ 850.000|3 quartos | |R$ 500 | 2 vagas|Nova Esperança
R$ 255.000|3 quartos | 74m² |R$ 440 | 2 vagas|Floresta
R$ 550.000|3 quartos | 96m² |R$ 500 | 2 vagas|Industrial
R$ 150.000|2 quartos | 50m² |R$ 240 | 2 vagas|Centro
R$ 45.000|1 quarto | 30m² | | 2 vagas|Igarapé
R$ 100.000|3 quartos | 200000m²| | |Embratel
R$ 35.000|2 quartos| | | |Mariana
R$ 80.000|2 quartos | 56m² | | 1 vaga|Marcos Freire
R$ 75.000|4 quartos | | | 1 vaga|Mariana
R$ 160.000|2 quartos | 180m² |R$ 0 | 2 vagas|Tancredo Neves
R$ 10.000|3 quartos | | | 3 vagas|Centro
R$ 25.000|1 quarto | 30m² |R$ 0| |Centro
R$ 75.000|2 quartos | | | 1 vaga|Centro
R$ 1.950.000|4 quartos | 350m² |R$ 450 | 4 vagas|Nova Esperança
R$ 100.000|3 quartos | | | 2 vagas|Centro
R$ 75.000|2 quartos | | | 2 vagas|Floresta
R$ 600.000|5 ou mais quartos | 420m² | | 2 vagas|Areal
R$ 35.000|1 quarto| | | |Eldorado
R$ 150.000|2 quartos | | | 2 vagas|São Francisco
R$ 0|5 ou mais quartos | 0m² | | 2 vagas|Aponiã
R$ 950.000|3 quartos | 187m² |R$ 0 | 2 vagas|Rio Madeira
R$ 330.000|2 quartos | | | 2 vagas|Nova Floresta
R$ 240.000|2 quartos | 72m² |R$ 415 | 1 vaga|Industrial
R$ 420.000|3 quartos | | | 2 vagas|Aeroclube
R$ 230.000|3 quartos | 106m² | | 2 vagas|Aeroclube
R$ 305.000|3 quartos | 139m² | | 2 vagas|Cascalheira
R$ 950.000|4 quartos | 169m² |R$ 810 | 2 vagas|Lagoa
R$ 50.000|2 quartos | 1000m² |R$ 126 | 1 vaga|Eldorado
R$ 198.000|2 quartos | |R$ 194 | 3 vagas|Novo Horizonte
R$ 900.000|3 quartos | 235m² |R$ 0 | 4 vagas|São João Bosco
R$ 340.000|3 quartos | 0m² | | 2 vagas|Rio Madeira
R$ 350.000|3 quartos | 0m² | | 2 vagas|São Cristóvão
R$ 580.000|3 quartos | 84m² |R$ 420 | 2 vagas|Lagoa
R$ 350.000|3 quartos | 76m² |R$ 0 | 1 vaga|Rio Madeira
R$ 500.000|2 quartos | 117m² |R$ 1.150 | 2 vagas|Olaria
R$ 350.000|3 quartos | 10m² | | 4 vagas|Aponiã
R$ 1.450.000|3 quartos | 248m² |R$ 400 | 2 vagas|Triângulo
R$ 30.000|2 quartos | 500m² |R$ 30 | 1 vaga|Juscelino Kubitschek
R$ 150.000|2 quartos | 46m² |R$ 157 | 1 vaga|Aeroclube
R$ 1.490.000|4 quartos | 326m² |R$ 500 | 5 ou mais vagas|Embratel
R$ 325.000|2 quartos | 251m² |R$ 194 | 2 vagas|Novo Horizonte
R$ 0|2 quartos | |R$ 0 | 1 vaga|Jardim Santana
R$ 260.000|3 quartos | 74m² |R$ 400 | 1 vaga|Cuniã
R$ 1.100.000|3 quartos | 212m² |R$ 450 | 2 vagas|Cidade Jardim
R$ 1.500.000|3 quartos | 246m² |R$ 350 | 5 ou mais vagas|Rio Madeira
R$ 900.000|3 quartos | 235m² | | 4 vagas|São João Bosco
R$ 990.000|3 quartos | 170m² |R$ 300 | 2 vagas|Rio Madeira
R$ 200.000|2 quartos | 50m² | | 1 vaga|Planalto
R$ 320.000|5 ou mais quartos | | | 1 vaga|Baixa União
R$ 1.500.000|3 quartos | 250m² |R$ 360 | 2 vagas|Nova Esperança
R$ 520.000|3 quartos | 100m² |R$ 0 | 2 vagas|Industrial
R$ 65.000|2 quartos | 180m² | | 1 vaga|Área Rural de Porto Velho
R$ 60.000|2 quartos | |R$ 170 | 2 vagas|Bairro Novo
R$ 0|5 ou mais quartos | | | 1 vaga|Embratel
R$ 35.000|1 quarto | 1025m² |R$ 35 | 1 vaga|Maringá
R$ 15.000|2 quartos | |R$ 15.000 | 1 vaga|Jardim Santana
R$ 70.000|2 quartos | | | 1 vaga|Ulisses Guimarães
R$ 70.000|2 quartos | | | 2 vagas|Jardim Santana
R$ 480.000|3 quartos | 180m² | | 2 vagas|Olaria
R$ 310.000|3 quartos | 72m² |R$ 380 | 2 vagas|Floresta
R$ 550.000|3 quartos | | | 2 vagas|Industrial
R$ 0|3 quartos | 186m² |R$ 270 | 2 vagas|Aponiã
R$ 230.000|2 quartos | 93m² |R$ 250 | 1 vaga|Embratel
R$ 900.000|5 ou mais quartos | 420m² |R$ 700 | 4 vagas|Embratel
R$ 235.000| |0m²| | |Militar
R$ 172.000|2 quartos | 51m² |R$ 0 | 1 vaga|Planalto
R$ 280.000|3 quartos | 104m² |R$ 150 | 3 vagas|Agenor de Carvalho
R$ 445.000|3 quartos | 107m² |R$ 0 | 2 vagas|São Francisco
R$ 250.000|4 quartos | 250m² |R$ 0 | 3 vagas|Aponiã
R$ 350.000|3 quartos | 200m² |R$ 0 | 4 vagas|Aponiã
R$ 300.000|2 quartos | 70m² |R$ 0 | 1 vaga|Lagoinha
R$ 720.000|5 ou mais quartos | 300m² |R$ 380 | 2 vagas|Rio Madeira
R$ 250.000|2 quartos | 50m² |R$ 190 | 2 vagas|Novo Horizonte
R$ 70.000|2 quartos | |R$ 115 | 2 vagas|Lagoa
R$ 295.000|3 quartos | 89m² | | 1 vaga|Rio Madeira
R$ 180.000|2 quartos | | | 2 vagas|Tancredo Neves
R$ 320.000|2 quartos | 70m² |R$ 480 | 1 vaga|Agenor de Carvalho
R$ 43.000|2 quartos | 250m² |R$ 0 | 2 vagas|Areia Branca
R$ 330.000|3 quartos | 76m² |R$ 620 | 1 vaga|Liberdade
R$ 45.000|2 quartos| | | |Socialista
R$ 110.000|2 quartos | 45m² |R$ 170 | 1 vaga|Aeroclube
R$ 70.000|2 quartos | 45m² |R$ 170 | 1 vaga|Aeroclube
R$ 390.000|3 quartos | 74m² |R$ 500 | 1 vaga|Industrial
R$ 40.000|2 quartos | 300m²| | |Planalto
R$ 36.000|2 quartos | | | 1 vaga|Cohab
R$ 1.270.000|1 quarto | 2520m² |R$ 0| |Eldorado
R$ 400.000|3 quartos | 230m² |R$ 0 | 5 ou mais vagas|Agenor de Carvalho
R$ 218.000|2 quartos | 53m² | | 1 vaga|Igarapé
R$ 160.000|2 quartos | 120m² | | 3 vagas|Castanheira
R$ 130.000|2 quartos | 100m² | | 5 ou mais vagas|Lagoa
R$ 260.000|2 quartos | 140m² |R$ 160 | 2 vagas|Novo Horizonte
R$ 1.490.000|4 quartos | 326m² | | 4 vagas|Industrial
R$ 195.000|2 quartos | 78m² |R$ 0 | 2 vagas|Três Marias
R$ 890.000|3 quartos | 170m² |R$ 350 | 2 vagas|Rio Madeira
R$ 700.000|3 quartos | 117m² |R$ 800 | 2 vagas|Olaria
R$ 295.000|3 quartos | 112m² |R$ 450 | 2 vagas|Nova Porto Velho
R$ 160.000| |52m² |R$ 345| |Rio Madeira
R$ 300.000|2 quartos | 70m² |R$ 395 | 1 vaga|Lagoinha
R$ 225.000|3 quartos | 72m² |R$ 360 | 1 vaga|Rio Madeira
R$ 320.000|3 quartos | 84m² |R$ 550 | 2 vagas|Rio Madeira
R$ 55.000|1 quarto | 54m² |R$ 0 | 1 vaga|Ronaldo Aragão
R$ 300.000|2 quartos | 70m² |R$ 395 | 1 vaga|Lagoinha
R$ 60.000|2 quartos | | | 2 vagas|Teixeirão
R$ 800.000|3 quartos | 150m² |R$ 550 | 2 vagas|Industrial
R$ 1.200.000|3 quartos | 238m² |R$ 500 | 2 vagas|Cidade Jardim
R$ 2.800.000|5 ou mais quartos | 3300m² |R$ 0 | 5 ou mais vagas|Lagoa
R$ 1.500.000|3 quartos | 302m² |R$ 0 | 2 vagas|Triângulo
R$ 320.000|3 quartos | 72m² |R$ 450 | 1 vaga|Agenor de Carvalho
R$ 245.595|2 quartos | 66m² |R$ 350 | 1 vaga|Lagoa
R$ 250.000|2 quartos | 58m² |R$ 500 | 1 vaga|Industrial
R$ 355.000|3 quartos | 84m² |R$ 525 | 2 vagas|Rio Madeira
R$ 50.000|2 quartos| | | |São Francisco
R$ 140.000|4 quartos | |R$ 0 | 4 vagas|Nova Floresta
R$ 375.000| |0m²| | |Rio Madeira
R$ 30.000|2 quartos| | | |Aeroclube
R$ 230.000|2 quartos | 86m² |R$ 200 | 1 vaga|Igarapé
R$ 1.200.000|3 quartos | 171m² | | 2 vagas|Embratel
R$ 550.000|3 quartos | 96m² |R$ 500 | 2 vagas|Embratel
R$ 860.000|3 quartos | | | 3 vagas|Olaria
R$ 1.500.000|4 quartos | | | 3 vagas|Lagoa
R$ 420.000|3 quartos | 150m² |R$ 160 | 2 vagas|Olaria
R$ 220.000|3 quartos | | | 2 vagas|Cuniã
R$ 470.000|3 quartos | 83m² | | 2 vagas|Lagoa
R$ 210.000|2 quartos | 300m²| | |Aponiã
R$ 137.000|3 quartos | 250m² | | 2 vagas|Aeroclube
R$ 280.000|2 quartos | 0m²| | |Eldorado
R$ 60.000|2 quartos | 10m² | | 1 vaga|Pantanal
R$ 160.000|2 quartos | 46m² |R$ 150 | 1 vaga|Aeroclube
R$ 900.000|3 quartos | 187m² |R$ 0 | 2 vagas|Rio Madeira
R$ 45.000| | | | |Centro
R$ 950.000|4 quartos | 400m² | | 4 vagas|Nova Esperança
R$ 1.270.000|1 quarto | 2520m² | | 3 vagas|Eldorado
R$ 208.000|3 quartos | 87m² |R$ 400 | 2 vagas|Flodoaldo Pontes Pinto
R$ 80.000|2 quartos | 45m² |R$ 170 | 1 vaga|Aeroclube
R$ 450.000|5 ou mais quartos | 585m² | | 3 vagas|Pedrinhas
R$ 930.000|3 quartos | 220m² |R$ 550 | 3 vagas|Nova Esperança
R$ 1.500.000|3 quartos | 241m² |R$ 11.000| |Rio Madeira
R$ 150.000|2 quartos | 25m²| | |Floresta
R$ 580.000|3 quartos | 100m² |R$ 550 | 2 vagas|Agenor de Carvalho
R$ 80.000| | |Condomínio: R$ 0| |São Sebastião
R$ 320.000|3 quartos | 0m² | | 2 vagas|Rio Madeira
R$ 350.000|3 quartos | 74m² |R$ 550 | 1 vaga|Rio Madeira
R$ 17.000| | | | |Nacional
R$ 900.000|3 quartos | 235m² |R$ 0 | 4 vagas|São João Bosco
R$ 55.000|1 quarto | 300m² | | 3 vagas|Planalto
R$ 1.000.000|5 ou mais quartos | 0m² | | 2 vagas|Nova Porto Velho
R$ 650.000|3 quartos | 122m² | | 2 vagas|Olaria
R$ 560.000|3 quartos | 120m² |R$ 350 | 2 vagas|Pedrinhas
R$ 650.000|3 quartos | 170m² | | 2 vagas|Rio Madeira
R$ 295.000|3 quartos | 450m² | | 5 ou mais vagas|Agenor de Carvalho
R$ 685.000|3 quartos | 120m² |R$ 650 | 2 vagas|Nova Porto Velho
R$ 35|1 quarto| | | |Lagoinha
R$ 65.000|2 quartos | | | 2 vagas|Bairro Novo
R$ 150.000|3 quartos | |R$ 0 | 1 vaga|Centro
R$ 70.000|2 quartos | 66m² |R$ 0 | 1 vaga|Eldorado
R$ 400.000|3 quartos | 150m²| | |Olaria
R$ 767.096|3 quartos | 134m² |R$ 750 | 2 vagas|Triângulo
R$ 650.000|4 quartos | 240m² | | 3 vagas|Centro
R$ 360.000|3 quartos | 110m² |R$ 467 | 2 vagas|Lagoinha
R$ 80.000|2 quartos | 70m² | | 3 vagas|Aeroclube
R$ 420.000|4 quartos | 200m² |R$ 0 | 2 vagas|Igarapé
R$ 50.000|2 quartos | | | 3 vagas|Bairro Novo
R$ 239.250|2 quartos | |R$ 440 | 1 vaga|Lagoinha
R$ 35.000|2 quartos | |R$ 0| |Jardim Santana
R$ 228.000|2 quartos | 67m² |R$ 440 | 1 vaga|Lagoinha
R$ 1.500.000|3 quartos | 250m² |R$ 360 | 2 vagas|Nova Esperança
R$ 0|3 quartos | 130m² |R$ 350 | 2 vagas|Pedrinhas
R$ 0|3 quartos | 170m² |R$ 270 | 2 vagas|Aponiã
R$ 420.000|3 quartos | 150m² |R$ 160 | 2 vagas|Olaria
R$ 380.000|3 quartos | 144m² | | 3 vagas|Aponiã
R$ 110.000|3 quartos | |R$ 0 | 1 vaga|Caladinho
R$ 230.000|2 quartos | 93m² |R$ 250 | 1 vaga|Embratel
R$ 85.000|1 quarto | 300m² |R$ 0 | 2 vagas|Aponiã
|2 quartos | 111m² |R$ 60| |Conceição
R$ 25.000|3 quartos| | | |Três Marias
R$ 55.000|1 quarto| | | |Lagoinha
R$ 1.350.000|3 quartos | | | 2 vagas|Eletronorte
R$ 400.000|4 quartos | 8889m² | | 2 vagas|Nova Esperança
R$ 25.000|2 quartos| | | |Aeroclube
R$ 375.000|3 quartos | 84m² |R$ 525 | 2 vagas|Rio Madeira
R$ 900.000|3 quartos | 187m² | | 2 vagas|Rio Madeira
R$ 240.000|3 quartos | | | 2 vagas|Juscelino Kubitschek
R$ 45.000|2 quartos | 10m² | | 1 vaga|Área Rural de Porto Velho
R$ 325.000|2 quartos | 57m² |R$ 439 | 1 vaga|Rio Madeira
R$ 460.000|2 quartos | 235m² | | 5 ou mais vagas|Lagoinha
R$ 90.000|2 quartos | 150m² | | 2 vagas|Tancredo Neves
R$ 90.000|2 quartos | 150m² | | 2 vagas|Tancredo Neves
R$ 1.100.000|3 quartos | 244m² |R$ 900 | 2 vagas|Pedrinhas
R$ 550.000|3 quartos | 96m² |R$ 500 | 2 vagas|Industrial
R$ 90.000|2 quartos | 250m² | | 1 vaga|Mariana
R$ 40.000|1 quarto | | | 1 vaga|Ronaldo Aragão
R$ 300.000|3 quartos | 180m² |R$ 0 | 2 vagas|Aponiã
R$ 290.000|3 quartos | | | 1 vaga|Centro
R$ 100.000| |0m² |R$ 0| |Centro
R$ 65.000|2 quartos | 70m² | | 1 vaga|Aeroclube
R$ 0|2 quartos | |R$ 0 | 2 vagas|Jardim Santana
R$ 530.000|3 quartos | 0m² | | 2 vagas|Industrial
R$ 850.000|3 quartos | 185m² |R$ 0| |Rio Madeira
R$ 149.999|2 quartos | 100m² |R$ 100 | 2 vagas|Nova Esperança
R$ 30.000|2 quartos | 1530m²| | |Área Rural de Porto Velho
R$ 115.000|2 quartos | 300m² | | 2 vagas|Aeroclube
R$ 80.000|1 quarto | | | 3 vagas|Mariana
R$ 350.000|4 quartos | 225m² |R$ 0 | 2 vagas|Tiradentes
R$ 220.000|3 quartos | 74m² |R$ 380 | 1 vaga|Nova Esperança
R$ 55.000|2 quartos| | | |Cascalheira
R$ 200.000|3 quartos | | | 2 vagas|Cascalheira
R$ 150.000|3 quartos | 300m² | | 1 vaga|Lagoinha
R$ 450|2 quartos | | | 1 vaga|Tiradentes
R$ 160.000|2 quartos | 0m² | | 1 vaga|Triângulo
R$ 170.000|2 quartos| | | |Maringá
R$ 0|4 quartos | 0m² |R$ 0 | 2 vagas|Centro
R$ 300.000|4 quartos | 250m² |R$ 0 | 2 vagas|Três Marias
R$ 670.000|4 quartos | 624m² |R$ 0 | 2 vagas|Agenor de Carvalho
R$ 600.000|3 quartos | 400m² | | 5 ou mais vagas|Igarapé
R$ 900.000|5 ou mais quartos | 420m² |R$ 700 | 4 vagas|Embratel
R$ 45.000|2 quartos | 4588m² |R$ 258 | 1 vaga|Área Rural de Porto Velho
R$ 0|2 quartos | 54m² |R$ 300 | 1 vaga|Baixa União
R$ 215.000|3 quartos | 48m² |R$ 0 | 1 vaga|Planalto
R$ 350.000|4 quartos | 360m² | | 2 vagas|Industrial
R$ 890.000|3 quartos | 170m² |R$ 380 | 2 vagas|Aponiã
R$ 1.290.000|4 quartos | 285m² |R$ 400 | 2 vagas|Cidade Jardim
R$ 1.500.000|4 quartos | 307m² | | 4 vagas|Lagoa
R$ 135.000|2 quartos | 45m² | | 1 vaga|Lagoinha
R$ 180.000|4 quartos | | | 2 vagas|Juscelino Kubitschek
R$ 825.000|3 quartos | 175m² | | 2 vagas|Agenor de Carvalho
R$ 55.000|2 quartos | 30m² |R$ 55.000 | 1 vaga|Nova Esperança
R$ 11.000|2 quartos| | | |Jardim Santana
R$ 75.000|2 quartos | | | 1 vaga|Cohab
R$ 1.250.000|3 quartos | 210m² |R$ 400 | 2 vagas|Nova Esperança
R$ 355.000|3 quartos | 84m² |R$ 525 | 2 vagas|Rio Madeira
R$ 300.000|3 quartos | 350m² | | 3 vagas|Rio Madeira
R$ 182.549|3 quartos | 100m² | | 1 vaga|Aeroclube
R$ 580.000|3 quartos | 83m² |R$ 450 | 2 vagas|Lagoa
R$ 550.000|3 quartos | 96m² |R$ 500 | 2 vagas|Industrial
R$ 540.000|3 quartos | 130m² | | 2 vagas|Industrial
R$ 180.000|3 quartos | 600m² | | 2 vagas|Lagoa
R$ 600|1 quarto| | | |Agenor de Carvalho
R$ 830.000|4 quartos | 300m² | | 3 vagas|Flodoaldo Pontes Pinto
R$ 300.000|2 quartos | 150m² | | 2 vagas|Nova Porto Velho
R$ 195.000|2 quartos | 79m² |R$ 0 | 2 vagas|Três Marias
R$ 430.000|3 quartos | 84m² |R$ 450| |Lagoa
R$ 380.000|3 quartos | 74m² |R$ 550 | 1 vaga|Rio Madeira
R$ 75.000|3 quartos | 300m² | | 3 vagas|Mariana
R$ 85.000|1 quarto | | | 1 vaga|Aponiã
R$ 170.000|3 quartos | | | 2 vagas|Tancredo Neves
R$ 500.000|3 quartos | 170m² | | 2 vagas|Rio Madeira
R$ 650.000|3 quartos | 100m² | | 2 vagas|Embratel
R$ 950.000|3 quartos | |R$ 300 | 2 vagas|Rio Madeira
R$ 100.000|2 quartos | 350m² |R$ 0 | 4 vagas|São Francisco
R$ 850.000|3 quartos | 0m² | | 2 vagas|Nova Porto Velho
R$ 750.000|3 quartos | 250m² |R$ 450 | 4 vagas|Castanheira
R$ 350.000|4 quartos | 300m² | | 2 vagas|Aponiã
R$ 750.000|3 quartos | 230m² | | 5 ou mais vagas|Cohab
R$ 550.000|3 quartos | 210m² | | 2 vagas|Flodoaldo Pontes Pinto
R$ 380.000|4 quartos | 0m² | | 3 vagas|São João Bosco
R$ 850.000|3 quartos | 830m² | | 2 vagas|Arigolândia
R$ 360.000|3 quartos | 84m² | | 1 vaga|Rio Madeira
R$ 475.000|3 quartos | 450m² | | 3 vagas|Flodoaldo Pontes Pinto
R$ 550.000|3 quartos | 130m² |R$ 380 | 2 vagas|Pedrinhas
R$ 291.025|2 quartos | 70m² | | 2 vagas|Rio Madeira
R$ 710.000|3 quartos | 151m² |R$ 660 | 2 vagas|Nossa Senhora das Graças
R$ 920.000|3 quartos | 202m² |R$ 302 | 4 vagas|Aponiã
R$ 155.000|2 quartos | 46m² |R$ 181 | 2 vagas|Eletronorte
R$ 385.000|3 quartos | 74m² | | 1 vaga|Rio Madeira
R$ 420.000|3 quartos | 75m² |R$ 500 | 2 vagas|Industrial
R$ 898.000|3 quartos | 176m² | | 2 vagas|Embratel
R$ 100.000|3 quartos | | | 2 vagas|Castanheira
R$ 520.000|3 quartos | 96m² |R$ 0 | 2 vagas|Industrial
R$ 340.000|3 quartos | 110m² |R$ 300 | 2 vagas|Rio Madeira
R$ 835.000|3 quartos | 86m² |R$ 0 | 2 vagas|Olaria
R$ 580.000|3 quartos | 120m² |R$ 0 | 2 vagas|Pedrinhas
R$ 90.000|3 quartos | | | 3 vagas|Ulisses Guimarães
R$ 460.000|3 quartos | 216m² |R$ 0 | 4 vagas|Aponiã
R$ 580.000|3 quartos | 120m² |R$ 0 | 2 vagas|Pedrinhas
R$ 1.550.000|3 quartos | 240m² |R$ 720 | 4 vagas|Rio Madeira
R$ 1.500.000|5 ou mais quartos | 400m² |R$ 0 | 4 vagas|Panair
R$ 161.000|2 quartos | 52m² | | 1 vaga|Esperança da Comunidade
R$ 1.280.000|3 quartos | 222m² |R$ 335 | 4 vagas|Área Rural de Porto Velho
R$ 8.000|2 quartos | 0m² |R$ 0| |Jardim Santana
R$ 600.000|4 quartos | | | 4 vagas|Aponiã
|2 quartos | |R$ 130 | 1 vaga|Bairro Novo
R$ 950|1 quarto | | | 1 vaga|Três Marias
R$ 560.000|3 quartos | 108m² |R$ 0 | 2 vagas|São João Bosco
R$ 90.000|2 quartos | | | 2 vagas|Igarapé
R$ 280.000|2 quartos | 48m² | | 2 vagas|Tiradentes
R$ 750.000|3 quartos | 230m² | | 5 ou mais vagas|Caladinho
R$ 50.000|3 quartos | | | 3 vagas|Nova Floresta
R$ 55.000|2 quartos| | | |Socialista
R$ 230.000|2 quartos | 93m² |R$ 250 | 1 vaga|Embratel
R$ 70.000|2 quartos| | | |Cidade Nova
R$ 300.000|3 quartos | 180m² |R$ 0 | 2 vagas|Aponiã
R$ 280.000|3 quartos | 120000m² |R$ 10 | 3 vagas|Área Rural de Porto Velho
R$ 300.000|4 quartos | 324m² |R$ 0 | 4 vagas|Pedrinhas
R$ 90.000|2 quartos | | | 2 vagas|São Sebastião
R$ 70.000|2 quartos | |R$ 0 | 2 vagas|Nova Esperança
R$ 35.000|1 quarto| | | |Mariana
R$ 170.000|1 quarto | 150m² | | 5 ou mais vagas|Nova Esperança
R$ 295.000|4 quartos | 250m² |R$ 0 | 2 vagas|Aponiã
R$ 360.000|3 quartos | 93m² |R$ 460 | 2 vagas|Lagoinha
R$ 650.000|3 quartos | 153m² | | 2 vagas|Agenor de Carvalho
R$ 1.700|3 quartos | 250m² | | 2 vagas|Arigolândia
R$ 70.000|2 quartos | 65m² | | 1 vaga|Esperança da Comunidade
R$ 600.000|5 ou mais quartos | 330m² | | 5 ou mais vagas|Igarapé
R$ 320.000|3 quartos | 0m² | | 2 vagas|Igarapé
R$ 160.000|2 quartos | 46m² |R$ 150 | 1 vaga|Aeroclube
R$ 280.000|3 quartos | 250m² | | 3 vagas|Juscelino Kubitschek
R$ 90.000|2 quartos | | | 1 vaga|Juscelino Kubitschek
R$ 200.000|3 quartos | 300m² |R$ 0 | 2 vagas|Cohab
R$ 850.000|3 quartos | 159m² |R$ 0 | 4 vagas|Aponiã
R$ 370.000|3 quartos | 148m² | | 2 vagas|Embratel
R$ 45.000|1 quarto | | | 1 vaga|Jardim Santana
R$ 300.000|2 quartos | 100m² | | 2 vagas|Centro
R$ 70.000|3 quartos | | | 1 vaga|Nova Floresta
R$ 200.000|2 quartos | 50m² | | 1 vaga|Cohab
R$ 890.000|3 quartos | 164m² |R$ 0 | 2 vagas|Aponiã
R$ 750.000|3 quartos | 450m² |R$ 1.200 | 2 vagas|Olaria
R$ 550.000|3 quartos | 550m² |R$ 446 | 2 vagas|Nova Floresta
R$ 130.000|3 quartos | | | 3 vagas|Lagoinha
R$ 150.000|2 quartos | 55m² | | 1 vaga|Triângulo
R$ 800.000|3 quartos | 200m² | | 2 vagas|Industrial
R$ 420.000|4 quartos | 144m² | | 4 vagas|Embratel
R$ 160.000|3 quartos | | | 2 vagas|Nova Floresta
R$ 231.900|2 quartos | 66m² | | 2 vagas|Lagoa
R$ 199.800|2 quartos | 52m² |R$ 200 | 2 vagas|Planalto
R$ 280.000|2 quartos | 150m² | | 2 vagas|Lagoa
R$ 60.000|1 quarto | 0m²| | |Teixeirão
R$ 370.000|3 quartos | 98m² |R$ 545 | 1 vaga|Costa e Silva
R$ 1.195.000|4 quartos | 314m² |R$ 1.150 | 4 vagas|Industrial
R$ 580.000|3 quartos | 95m² |R$ 735 | 2 vagas|São João Bosco
R$ 900.000|3 quartos | 190m² | | 3 vagas|Lagoa
R$ 240.000|3 quartos | 120m² | | 3 vagas|Flodoaldo Pontes Pinto
